"LogID","AdvertID","LogIP","LogTimestamp","LogBrowser","LogType","LogOriginPage"
"11810945","782","192.3.57.9","2022-03-22 09:54:44","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.80 Safari/537.36","C","/pages.php"
"11810951","782","184.105.108.2","2022-03-22 10:08:49","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36","C","/index.php"
"11810952","782","216.218.191.202","2022-03-22 10:08:50","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36","C","/index.php"
"11810956","782","104.144.52.73","2022-03-22 10:12:24","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36","C","/index.php"
"11810975","782","104.144.52.73","2022-03-22 10:19:57","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36","C","/news.php"
"11810989","782","104.144.52.73","2022-03-22 10:30:40","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36","C","/pages.php"
"11811000","782","104.144.52.73","2022-03-22 10:40:48","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36","C","/vrevents.php"
"11811011","782","104.144.52.73","2022-03-22 10:45:45","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36","C","/events.php"
"11811020","782","104.144.52.73","2022-03-22 10:47:34","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36","C","/contact-us.php"
"11811034","782","104.144.52.73","2022-03-22 11:01:00","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36","C","/videos.php"
